GAME,STADIUM,DATE,TIME,AWAY TEAM,SCORE_A,HOME TEAM,SCORE_H,W,YEAR
188,台南,2020-09-09,18:35,富邦,0.0,統一7-ELEVEn,6.0,統一7-ELEVEn,2020
189,桃園,2020-09-09,18:35,中信兄弟,8.0,樂天,1.0,中信兄弟,2020
190,桃園,2020-09-10,18:35,中信兄弟,4.0,樂天,5.0,樂天,2020
191,台南,2020-09-11,18:35,中信兄弟,12.0,統一7-ELEVEn,2.0,中信兄弟,2020
192,新莊,2020-09-11,18:35,樂天,7.0,富邦,4.0,樂天,2020
194,新莊,2020-09-12,17:05,樂天,1.0,富邦,12.0,富邦,2020
195,,2020-09-13,,中信兄弟,3.0,統一7-ELEVEn,6.0,統一7-ELEVEn,2020
196,,2020-09-13,,樂天,4.0,富邦,5.0,富邦,2020
197,,2020-09-15,,樂天,1.0,統一7-ELEVEn,4.0,統一7-ELEVEn,2020
198,,2020-09-16,,樂天,5.0,統一7-ELEVEn,11.0,統一7-ELEVEn,2020
199,,2020-09-16,,中信兄弟,4.0,富邦,10.0,富邦,2020
200,,2020-09-17,,中信兄弟,10.0,富邦,4.0,中信兄弟,2020
201,,2020-09-18,,樂天,2.0,中信兄弟,13.0,中信兄弟,2020
202,,2020-09-18,,統一7-ELEVEn,1.0,富邦,5.0,富邦,2020
203,,2020-09-19,,樂天,4.0,中信兄弟,3.0,樂天,2020
204,,2020-09-19,,統一7-ELEVEn,7.0,富邦,6.0,統一7-ELEVEn,2020
205,,2020-09-20,,樂天,0.0,中信兄弟,6.0,中信兄弟,2020
206,,2020-09-20,,統一7-ELEVEn,4.0,富邦,8.0,富邦,2020
207,,2020-09-22,,統一7-ELEVEn,6.0,樂天,7.0,樂天,2020
208,,2020-09-23,,統一7-ELEVEn,12.0,樂天,9.0,統一7-ELEVEn,2020
209,,2020-09-23,,富邦,16.0,中信兄弟,5.0,富邦,2020
210,,2020-09-24,,富邦,3.0,中信兄弟,2.0,富邦,2020
211,,2020-09-25,,中信兄弟,4.0,樂天,9.0,樂天,2020
212,,2020-09-25,,富邦,0.0,統一7-ELEVEn,7.0,統一7-ELEVEn,2020
